	Country	Death Rate	GDP - per capita (PPP) (US$)	Unemployment rate (%)
147	Lebanon	0.0228310502283105	19600.0	9.7
148	Armenia	0.007075471698113208	9500.0	18.9
149	South Africa	0.0008424599831508003	13600.0	27.5
150	Algeria	0.06387665198237885	15200.0	11.7
151	Belarus	0.0	18900.0	0.8
152	Albania	0.04716981132075472	12500.0	13.8
153	Brunei	0.007936507936507936	78900.0	6.9
154	Hungary	0.031862745098039214	29600.0	4.2
155	Taiwan	0.006711409395973154	50500.0	3.8
156	Venezuela	0.01680672268907563	12500.0	27.1
157	Luxembourg	0.009830693610049153	105100.0	5.8
158	Philippines	0.05007052186177715	8400.0	5.7
159	Serbia	0.017543859649122806	15100.0	14.1
160	Portugal	0.019959745051995974	30500.0	8.9
161	Qatar	0.001694915254237288	124100.0	8.9
162	Croatia	0.008415147265077139	24700.0	12.4
163	Greece	0.034872761545711596	27800.0	21.5
164	UAE	0.004273504273504274		
165	New Zealand	0.0019455252918287938	39000.0	4.7
166	Chile	0.003143006809848088	24600.0	6.7
167	Russia	0.005215123859191656	27900.0	5.2
168	Indonesia	0.088715953307393	12400.0	5.4
169	Saudi Arabia	0.006158583525789068	54500.0	6.0
170	Kuwait	0.0	65800.0	1.1
171	Turkey	0.01459065117535801	27000.0	10.9
172	Faeroe Islands	0.0		
173	Argentina	0.025503355704697986	20900.0	8.4
174	India	0.025329280648429583	7200.0	8.5
175	Israel	0.0036222509702457956	36400.0	4.2
176	Thailand	0.005043227665706052	17900.0	0.7
177	Iceland	0.00196078431372549	52200.0	2.8
178	Hong Kong	0.0062402496099844	61500.0	3.1
179	Egypt	0.0625	12700.0	12.2
180	UK	0.06326196086466551		
181	Iraq	0.07678244972577697	16700.0	16.0
182	Romania	0.022727272727272728	24600.0	4.9
183	Singapore	0.0035545023696682463	94100.0	2.2
184	Australia	0.004031242126480222	50400.0	5.6
185	Bahrain	0.008016032064128256	49000.0	3.6
186	Malaysia	0.013765182186234818	29100.0	3.4
187	Japan	0.03071470761961016	42900.0	2.9
188	Austria	0.01007497656982193	50000.0	5.5
189	Canada	0.010786914235190096	48400.0	6.3
190	Diamond Princess	0.014044943820224719		
191	Belgium	0.039774824658545586	46600.0	7.1
192	Switzerland	0.019872541629548414	62100.0	3.2
193	USA	0.018000775268921406		
194	S. Korea	0.015861421266826672		
195	France	0.061583499667332	44100.0	9.4
196	Germany	0.007811561110443456	50800.0	3.8
197	Italy	0.10838956657150273	38200.0	11.3
198	Iran	0.06891331018820643	20100.0	11.8
199	Spain	0.08284579362158458	38400.0	17.2
200	China	0.043738733962464214	16700.0	3.9
